trait,definition,units
id,Unique patient ID,
patient_code,Unique internal code for patients,
hospital_code,Internal code for hospitals participating in the study,
patient_internal_code,Internal code for patients participating in the study,
informed_consent,Whether patient signed informed consent,
date_informed_consent_signature,Date of signature of informed consent,
eligible,Whether patient is eligible according to inclusion/exclusion criteria,
sex,Sex,
menopausal_status,"Whether women are pre-, peri- or post-menopausal",
ethnicity,Declared ethnicity of patient,
date_birth,Date of birth,
date_cancer_dx,Date of cancer diagnosis,
age_cancer_dx,Age of patient when cancer was diagnosed,
weight,Weight,kg
height,Height,cm
body_surface_area,Dubois body surface area,m²
bmi,Body Mass Index (BMI) value,kg/m²
bmi_category,"Whether patient has under-, normal, over-weight or obesity according to BMI",
performance_status,ECOG performance status at beginning of chemotherapy,
tobacco_use,Whether patient ever smoked,
personal_background,Whether patient has any comorbidity,
chronic_cardiac_insufficiency,Whether patient suffers chronic cardiac insufficiency,
copd,Whether patient suffers chronic obstructive pulmonary disease (COPD),
renal_insufficiency,Whether patient suffers renal insufficiency,
arterial_hypertension,Whether patient suffers arterial hypertension,
diabetes_mellitus,Whether patient suffers diabetes mellitus,
dyslipidemia,Whether patient suffers dyslipidemia,
hormone_therapy,Whether patient is being treated with hormone therapy,
hormone_therapy_reason,Condition treated with hormone therapy,
hormone_therapy_drug,Drug used for hormone therapy,
oral_contraceptives,Whether women were currently taking oral contraceptives,
pregnancy_during_study,Whether women was pregnant during study,
other_comorbidites,Whether patient has any other comorbidity,
descr_other_comorbidities,Description of other comorbidities,
surgery_unrelated_tumour,Surgery (unrelated to tumoural disease) performed in the last six months,
date_surgery_unrelated_tumour,Date of surgery (unrelated to tumoural disease) performed in the last six months,
descr_surgery_unrelated_tumour,Description of surgery (unrelated to tumoural disease) performed in the last six months,
previous_vte,Whether patient had VTE at least six months prior to cancer diagnosis,
previous_vte_type,Location of VTE suffered at least six months prior to cancer diagnosis,
descr_previous_vte,Description of location of VTE suffered at least six months prior to cancer diagnosis,
date_previous_vte,Date of VTE suffered at least six months prior to cancer diagnosis,
previous_anticoag_tx,Whether patient had previous anticoagulant treatment,
previous_anticoag_tx_drug,Drug name of anticoagulant in previous anticoagulant treatment,
previous_anticoag_tx_dosage,Dosage of anticoagulant in previous anticoagulant treatment,
previous_anticoag_tx_regimen,Regimen of anticoagulant in previous anticoagulant treatment,
previous_anticoag_tx_lmwh_reason,"If low-molecular weight heparins were used as previous anticoagulant treatment, reason why they were prescribed",
previous_anticoag_tx_reason,What event was the cause of the previous anticoagulant treatment,
previous_ate,Whether patient had ATE prior to cancer diagnosis,
previous_ate_type,Type of ATE suffered prior to cancer diagnosis,
previous_antiaggreg_tx,Whether patient had previous antiaggregant treatment,
previous_antiaggreg_drug,Drug name of antiaggregant in previous anticoagulant treatment,
previous_antiaggreg_dosage,Dosage of antiaggregant in previous anticoagulant treatment,
previous_antiaggreg_regimen,Regimen of antiaggregant in previous anticoagulant treatment,
descr_previous_antiaggreg_reason,What event was the cause of the previous antiaggregant treatment,
venous_insufficiency,Whether patient had either varicose veins/venous insufficiency,
family_background_vte,Whether there is a family history of VTE,
primary_tumor,Primary tumor,
bile_duct_cancer_type,Type of bile duct cancer,
brain_cancer_type,Type of brain cancer,
colorectal_cancer_KRAS_NRAS_mutation,Whether KRAS or NRAS or both are mutated in colorectal cancer patient,
colorectal_cancer_BRAF_mutation,Whether B-RAF is mutated in colorectal cancer patient,
colorectal_cancer_MSI,Whether there is microsatellite instability (MSI) in colorectal cancer patient,
descr_colorectal_cancer_other_mutations,Description of other mutations in colorectal cancer patient,
oesophago_gastric_cancer_HER2_mutation,Whether HER-2 is mutated in oesophagic/gastric cancer patient,
descr_oesophago_gastric_cancer_other_mutations,Description of other mutations in oesophagic/gastric cancer patient,
nsclc_EGFR_mutation,Whether EGFR is mutated in NSCLC patient,
nsclc_ALK_translocation,Whether ALK is translocated in NSCLC patient,
nsclc_ROS1_translocation,Whether ROS-1 is translocated in NSCLC patient,
descr_nsclc_other_mutations,Description of other mutations in NSCLC patient,
bile_duct_cancer_IDH12_mutation,Whether IDH-1 or IDH-2 or both are mutated in bile duct cancer patient,
bile_duct_cancer_FGFR_mutation,Whether FGFR is mutated in bile duct cancer patient,
brain_cancer_IDH_mutation,Whether IDH is mutated in brain cancer patient,
brain_cancer_ATRX_mutation,Whether ATRX is mutated in brain cancer patient,
brain_cancer_BRAF_mutation,Whether B-RAF is mutated in brain cancer patient,
brain_cancer_1p19q_codeletion,Whether region 1p/19q regions are co-deleted in brain cancer patient,
histology,"Whether tumor is adenocarcinoma, other histology or unknown",
descr_histology,Description of tumor histology,
grade_histological_differentiation,"Grade of tumor histological differentiation (well, moderately or poorly differentiated)",
mucinous_histology,Whether tumor histology is mucinous,
metastasis_when_cancer_dx,Whether there was metastasis when cancer was diagnosed,
descr_metastases_location,Description of metastasis location(s),
clinical_stage,Clinical stage at the beginning of chemotherapy or study,
pTNM_stage,Stage at cancer diagnosis,
descr_pTNM_stage,pTNM stage,
pT,Pathological assessment of tumour,
pN,Pathological assessment of lymph nodes,
cM,Clinical assessment of distant metastasis,
previous_onco_surgery,Whether patients undergoes oncological surgery,
descr_previous_onco_surgery,Description of type of oncological surgery,
tumor_surgically_removed,Whether the tumor has been completely resected,
catheter_device,Whether patient has a central venous catheter device (i.e. port-a-cath) implanted,
vte_concomitant_cancer_dx,Was VTE diagnosed at the same time or following to cancer diagnosis?,
vte_concomitant_cancer_dx_type,Location of VTE concomitant to cancer diagnosis,
descr_vte_concomitant_cancer_dx_other_type,Description of other location of VTE concomitant to cancer diagnosis,
vte_concomitant_cancer_dx_symptomatic,Whether VTE concomitant to cancer diagnosis was symptomatic,
date_vte_concomitant_cancer_dx,Date of diagnosis of VTE concomitant to cancer diagnosis,
vte_reason_cancer_dx,Was VTE the reason of cancer diagnosis?,
date_blood_test,Date of blood test,
follow_up_interrupted,Was follow-up interrupted?,
follow_up_interrupted_reason,Reason of follow-up interruption,
descr_follow_up_interrupted_reason,Description of reason of follow-up interruption,
date_follow_up_interrupted,Date of follow-up interruption,
VTE,Venous thromboembolism observed along 12 months of follow-up (primary endpoint of study),
VTE_type,Location of VTE observed along 12 months of follow-up,
VTE_other_type,Description of other type of VTE observed along 12 months of follow-up,
VTE_symptomatic,Was symptomatic the VTE observed along 12 months of follow-up?,
date_VTE,Date of VTE observed along 12 months of follow-up,
ATE,Arterial thromboembolism observed along 12 months of follow-up (secondary endpoint of study),
ATE_type,Type of ATE observed along 12 months of follow-up,
date_ATE,Date of ATE observed along 12 months of follow-up,
thrombosis_tx_type,Type of treatment for VTE and/or ATE observed along 12 months of follow-up,
thrombosis_tx_drug,Drug for VTE and/or ATE observed along 12 months of follow-up,
descr_thrombosis_tx_drug,Description of other drugs for VTE and/or ATE observed along 12 months of follow-up,
thrombosis_tx_dosage,Dosage for VTE and/or ATE observed along 12 months of follow-up,
thrombosis_tx_regimen,Regimen for VTE and/or ATE observed along 12 months of follow-up,
date_begin_thrombosis_tx,Date of beginning of treatment for VTE and/or ATE observed along 12 months of follow-up,
date_end_thrombosis_tx,Date of end of treatment for VTE and/or ATE observed along 12 months of follow-up,
erythropoietin,Whether patient was given erythropoietin (EPO) along 12 months of follow-up,
date_begin_erythropoietin,Date of beginning of treatment with EPO,
date_end_erythropoietin,Date of end of treatment with EPO,
rbc_transfusion,Whether patient received red blood cells transfusion,
date_rbc_transfusion_1,Date of first red blood cells transfusion,
date_rbc_transfusion_2,Date of second red blood cells transfusion,
date_rbc_transfusion_3,Date of third red blood cells transfusion,
platelets_transfusion,Whether patient received platelets tranfusion,
date_platelets_transfusion_1,Date of first platelets transfusion,
date_platelets_transfusion_2,Date of second platelets transfusion,
date_platelets_transfusion_3,Date of third platelets transfusion,
cisplatin,Whether patient was given cisplatin along 12 months of follow-up,
date_begin_cisplatin,Date of beginning of cisplatin treatment,
date_end_cisplatin,Date of end of cisplatin treatment,
bevacizumab,Whether patient was given bevacizumab along 12 months of follow-up,
date_begin_bevacizumab,Date of beginning of bevacizumab treatment,
date_end_bevacizumab,Date of end of bevacizumab treatment,
megestrol_acetate,Whether patient was given megestrol acetate along 12 months of follow-up,
date_begin_megestrol_acetate,Date of beginning of megestrol acetate treatment,
date_end_megestrol_acetate,Date of end of megestrol acetate treatment,
immunotherapy,Whether patient was given immunotherapy along 12 months of follow-up,
immunotherapy_drug,Drug used in immunotherapy,
date_begin_immunotherapy,Date of beginning of immunotherapy treatment,
date_end_immunotherapy,Date of end of immunotherapy treatment,
radiotherapy,Whether patient was given radiotherapy along 12 months of follow-up,
rt_1,Was there a first radiotherapy treatment?,
rt_type_1,"Type of first radiotherapy treatment (neoadjuvant, adjuvant, palliative)",
date_begin_rt_1,Date of beginning of first radiotherapy treatment,
date_end_rt_1,Date of end of first radiotherapy treatment,
descr_rt_location_1,Description of location of first radiotherapy treatment,
rt_2,Was there a second radiotherapy treatment?,
rt_type_2,"Type of second radiotherapy treatment (neoadjuvant, adjuvant, palliative)",
date_begin_rt_2,Date of beginning of second radiotherapy treatment,
date_end_rt_2,Date of end of second radiotherapy treatment,
descr_rt_location_2,Description of location of second radiotherapy treatment,
rt_3,Was there a third radiotherapy treatment?,
rt_type_3,"Type of third radiotherapy treatment (neoadjuvant, adjuvant, palliative)",
date_begin_rt_3,Date of beginning of third radiotherapy treatment,
date_end_rt_3,Date of end of third radiotherapy treatment,
descr_rt_location_3,Description of location of third radiotherapy treatment,
surgery_during_study,Did patient had surgery along 12 months of follow-up?,
descr_surgery_during_study_1,Description of first surgery along 12 months of follow-up,
date_surgery_during_study_1,Date of first surgery along 12 months of follow-up,
descr_surgery_during_study_2,Description of second surgery along 12 months of follow-up,
date_surgery_during_study_2,Date of second surgery along 12 months of follow-up,
descr_surgery_during_study_3,Description of third surgery along 12 months of follow-up,
date_surgery_during_study_3,Date of third surgery along 12 months of follow-up,
major_trauma_during_study,Whether patient suffered major trauma along 12 months of follow-up,
date_major_trauma_during_study,Date of major trauma along 12 months of follow-up,
hospitalisation_during_study,Whether patient was hospitalised along 12 months of follow-up,
descr_hospitalisation_during_study_reason_1,Description of first hospitalisation along 12 months of follow-up,
date_hospitalisation_during_study_1,Date of first hospitalisation along 12 months of follow-up,
descr_hospitalisation_during_study_reason_2,Description of second hospitalisation along 12 months of follow-up,
date_hospitalisation_during_study_2,Date of second hospitalisation along 12 months of follow-up,
descr_hospitalisation_during_study_reason_3,Description of third hospitalisation along 12 months of follow-up,
date_hospitalisation_during_study_3,Date of third hospitalisation along 12 months of follow-up,
descr_hospitalisation_during_study_reason_4,Description of fourth hospitalisation along 12 months of follow-up,
date_hospitalisation_during_study_4,Date of fourth hospitalisation along 12 months of follow-up,
VTE_recurrence,Whether patient suffered VTE recurrence along 12 months of follow-up,
VTE_recurrence_tx_type,Type of treatment provided for VTE recurrence,
VTE_recurrence_tx_drug,Drug provided as treatment of VTE recurrence,
descr_VTE_recurrence_tx_dosage,Dosage in treatment of VTE recurrence,
anticoag_tx_when_VTE_recurrence,Was patient under anticoagulant treatment when VTE recurrence happened?,
patient_status,Patient status at the end of follow-up,
date_end_study,Date of follow-up end,
descr_last_contact,"If patient status is unknown, what was his situation at last contact?",
date_death,Date of death,
VTE_ATE_during_study,Did VTE and/or ATE happened during 12 months of follow-up?,
tic_onco_score,TiC-Onco score classification,
ctc_day_0,Circulating tumor cells at day 0,
date_ctc_day_0,Date of sampling for CTC assessment at day 0,
ctc_day_28,Circulating tumor cells at day 28,
date_ctc_day_28,Date of sampling for CTC assessment at day 28,
bmi_25,Whether patient has BMI superior to 25 kg/m²,
stage_numeric,pTNM stage as number,
rs11696364,Genotype for SNP rs11696364,
rs169713,Genotype for SNP rs169713,
rs2232698,Genotype for SNP rs2232698,
rs268,Genotype for SNP rs268,
rs4524,Genotype for SNP rs4524,
rs5110,Genotype for SNP rs5110,
rs6003,Genotype for SNP rs6003,
rs6025,Genotype for SNP rs6025,
rs2227631,Genotype for SNP rs2227631,
rs11696364_n_risk_alleles,Number of risk alleles in SNP rs11696364,
rs169713_n_risk_alleles,Number of risk alleles in SNP rs169713,
rs2232698_n_risk_alleles,Number of risk alleles in SNP rs2232698,
rs268_n_risk_alleles,Number of risk alleles in SNP rs268,
rs4524_n_risk_alleles,Number of risk alleles in SNP rs4524,
rs5110_n_risk_alleles,Number of risk alleles in SNP rs5110,
rs6003_n_risk_alleles,Number of risk alleles in SNP rs6003,
rs6025_n_risk_alleles,Number of risk alleles in SNP rs6025,
rs2227631_n_risk_alleles,Number of risk alleles in SNP rs2227631,
n_metastases_locations,Number of metastases locations,
metastases_liver,Whether there is metastasis in liver,
khorana_risk_score,Khorana Risk Score,
protecht_score,PROTECHT score,
conko_score,CONKO score,
vienna_cats_score,Vienna-CATS score,
catscore_pabinger_nomogram,CATSCORE (a.k.a. Pabinger's nomogram),Percentage (%)
date_1st_previous_ate,Date of 1st ATE previous to entering study,
date_2nd_previous_ate,Date of 2nd ATE previous to entering study,
date_3rd_previous_ate,Date of 3rd ATE previous to entering study,
date_1st_previous_onco_surgery,Date of 1st oncological surgery,
date_2nd_previous_onco_surgery,Date of 2nd oncological surgery,
date_3rd_previous_onco_surgery,Date of 3rd oncological surgery,
tumor_type_risk,Numerical categorisation of cancer type according to VTE risk as indicated in Khorana Risk Score and 2013 ASCO guidelines,
rs5985,Genotype for SNP rs5985,
rs5985_n_risk_alleles,Number of risk alleles in SNP rs5985,
hospital,Hospital name where patients were recruited,
chemotherapy,Whether patient was given chemotherapy along 12 months of follow-up,
GRS,Genetic Risk Score used in ONCOTHROMB score,
date_2nd_VTE,Date of 2nd VTE event,
chemo_1,First chemotherapy treatment,
date_begin_chemo_1,Date of beginning of first chemotherapy treatment,
date_end_chemo_1,Date of end of first chemotherapy treatment,
chemo_type_1,"Type of first chemotherapy (neoadjuvant, adjuvant, metastasis)",
chemo_line_1,"If cancer is metastatic, line of first chemotherapy treatment",
chemo_2,Second chemotherapy treatment,
date_begin_chemo_2,Date of beginning of second chemotherapy treatment,
date_end_chemo_2,Date of end of second chemotherapy treatment,
chemo_type_2,"Type of second chemotherapy (neoadjuvant, adjuvant, metastasis)",
chemo_line_2,"If cancer is metastatic, line of second chemotherapy treatment",
chemo_3,Third chemotherapy treatment,
date_begin_chemo_3,Date of beginning of third chemotherapy treatment,
date_end_chemo_3,Date of end of third chemotherapy treatment,
chemo_type_3,"Type of third chemotherapy (neoadjuvant, adjuvant, metastasis)",
chemo_line_3,"If cancer is metastatic, line of third chemotherapy treatment",
chemo_4,Fourth chemotherapy treatment,
date_begin_chemo_4,Date of beginning of fourth chemotherapy treatment,
date_end_chemo_4,Date of end of fourth chemotherapy treatment,
chemo_type_4,"Type of fourth chemotherapy (neoadjuvant, adjuvant, metastasis)",
chemo_line_4,"If cancer is metastatic, line of fourth chemotherapy treatment",
chemo_1_clean,First chemotherapy treatment cleaned,
chemo_2_clean,Second chemotherapy treatment cleaned,
