model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,42,0.3,0.634056567222007,0.4211620686259646,0.7542372881355932
Logistic Regression,42,0.3,0.55288647810926,0.3003766415014376,0.5508474576271186
Gradient Boosting,42,0.3,0.508330104610616,0.3063017186736395,0.7033898305084746
Random Forest,42,0.3,0.634056567222007,0.4211620686259646,0.7542372881355932
Logistic Regression,42,0.3,0.55288647810926,0.3003766415014376,0.5508474576271186
Gradient Boosting,42,0.3,0.508330104610616,0.3063017186736395,0.7033898305084746
Random Forest,42,0.3,0.634056567222007,0.4211620686259646,0.7542372881355932
Logistic Regression,42,0.3,0.55288647810926,0.3003766415014376,0.5508474576271186
Gradient Boosting,42,0.3,0.508330104610616,0.3063017186736395,0.7033898305084746
Random Forest,42,0.3,0.634056567222007,0.4211620686259646,0.7542372881355932
Logistic Regression,42,0.3,0.55288647810926,0.3003766415014376,0.5508474576271186
Gradient Boosting,42,0.3,0.508330104610616,0.3063017186736395,0.7033898305084746
Random Forest,42,0.3,0.634056567222007,0.4211620686259646,0.7542372881355932
Logistic Regression,42,0.3,0.55288647810926,0.3003766415014376,0.5508474576271186
Gradient Boosting,42,0.3,0.508330104610616,0.3063017186736395,0.7033898305084746
Random Forest,0,0.3,0.7111584657109647,0.4469580373672205,0.7711864406779662
Logistic Regression,0,0.3,0.5784579620302208,0.3082831859491581,0.635593220338983
Gradient Boosting,0,0.3,0.566834560247966,0.28159801534331,0.6864406779661016
Random Forest,0,0.3,0.7111584657109647,0.4469580373672205,0.7711864406779662
Logistic Regression,0,0.3,0.5784579620302208,0.3082831859491581,0.635593220338983
Gradient Boosting,0,0.3,0.566834560247966,0.28159801534331,0.6864406779661016
Random Forest,0,0.3,0.7111584657109647,0.4469580373672205,0.7711864406779662
Logistic Regression,0,0.3,0.5784579620302208,0.3082831859491581,0.635593220338983
Gradient Boosting,0,0.3,0.566834560247966,0.28159801534331,0.6864406779661016
Random Forest,0,0.3,0.7111584657109647,0.4469580373672205,0.7711864406779662
Logistic Regression,0,0.3,0.5784579620302208,0.3082831859491581,0.635593220338983
Gradient Boosting,0,0.3,0.566834560247966,0.28159801534331,0.6864406779661016
Random Forest,0,0.3,0.7111584657109647,0.4469580373672205,0.7711864406779662
Logistic Regression,0,0.3,0.5784579620302208,0.3082831859491581,0.635593220338983
Gradient Boosting,0,0.3,0.566834560247966,0.28159801534331,0.6864406779661016
Random Forest,1,0.3,0.590468810538551,0.3211173233906295,0.7372881355932204
Logistic Regression,1,0.3,0.5280898876404494,0.2668024576338227,0.5677966101694916
Gradient Boosting,1,0.3,0.5160790391321193,0.2692200451128245,0.711864406779661
Random Forest,1,0.3,0.590468810538551,0.3211173233906295,0.7372881355932204
Logistic Regression,1,0.3,0.5280898876404494,0.2668024576338227,0.5677966101694916
Gradient Boosting,1,0.3,0.5160790391321193,0.2692200451128245,0.711864406779661
Random Forest,1,0.3,0.590468810538551,0.3211173233906295,0.7372881355932204
Logistic Regression,1,0.3,0.5280898876404494,0.2668024576338227,0.5677966101694916
Gradient Boosting,1,0.3,0.5160790391321193,0.2692200451128245,0.711864406779661
Random Forest,1,0.3,0.590468810538551,0.3211173233906295,0.7372881355932204
Logistic Regression,1,0.3,0.5280898876404494,0.2668024576338227,0.5677966101694916
Gradient Boosting,1,0.3,0.5160790391321193,0.2692200451128245,0.711864406779661
Random Forest,1,0.3,0.590468810538551,0.3211173233906295,0.7372881355932204
Logistic Regression,1,0.3,0.5280898876404494,0.2668024576338227,0.5677966101694916
Gradient Boosting,1,0.3,0.5160790391321193,0.2692200451128245,0.711864406779661
Random Forest,2,0.3,0.6168151879116622,0.417012359302855,0.7796610169491526
Logistic Regression,2,0.3,0.597830298333979,0.3203372069875176,0.5847457627118644
Gradient Boosting,2,0.3,0.4831460674157303,0.2506716099503517,0.635593220338983
Random Forest,2,0.3,0.6168151879116622,0.417012359302855,0.7796610169491526
Logistic Regression,2,0.3,0.597830298333979,0.3203372069875176,0.5847457627118644
Gradient Boosting,2,0.3,0.4831460674157303,0.2506716099503517,0.635593220338983
Random Forest,2,0.3,0.6168151879116622,0.417012359302855,0.7796610169491526
Logistic Regression,2,0.3,0.597830298333979,0.3203372069875176,0.5847457627118644
Gradient Boosting,2,0.3,0.4831460674157303,0.2506716099503517,0.635593220338983
Random Forest,2,0.3,0.6168151879116622,0.417012359302855,0.7796610169491526
Logistic Regression,2,0.3,0.597830298333979,0.3203372069875176,0.5847457627118644
Gradient Boosting,2,0.3,0.4831460674157303,0.2506716099503517,0.635593220338983
Random Forest,2,0.3,0.6168151879116622,0.417012359302855,0.7796610169491526
Logistic Regression,2,0.3,0.597830298333979,0.3203372069875176,0.5847457627118644
Gradient Boosting,2,0.3,0.4831460674157303,0.2506716099503517,0.635593220338983
Random Forest,3,0.3,0.6654397520340953,0.4245736363383247,0.7288135593220338
Logistic Regression,3,0.3,0.6020922123208059,0.3278250353217356,0.5677966101694916
Gradient Boosting,3,0.3,0.6133281673769857,0.3260626271059836,0.7203389830508474
Random Forest,3,0.3,0.6654397520340953,0.4245736363383247,0.7288135593220338
Logistic Regression,3,0.3,0.6020922123208059,0.3278250353217356,0.5677966101694916
Gradient Boosting,3,0.3,0.6133281673769857,0.3260626271059836,0.7203389830508474
Random Forest,3,0.3,0.6654397520340953,0.4245736363383247,0.7288135593220338
