model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,0,0.2,0.4987684729064039,0.3586692283695587,0.7468354430379747
Logistic Regression,0,0.2,0.409688013136289,0.2467387571074552,0.5063291139240507
Gradient Boosting,0,0.2,0.4950738916256157,0.3227401990197073,0.7088607594936709
Random Forest,5,0.2,0.548440065681445,0.308159377669757,0.7215189873417721
Logistic Regression,5,0.2,0.5582922824302134,0.3298116129175267,0.5189873417721519
Gradient Boosting,5,0.2,0.6026272577996716,0.3286842822981884,0.6708860759493671
Random Forest,42,0.2,0.4289819376026272,0.2573030809498349,0.6962025316455697
Logistic Regression,42,0.2,0.4589490968801313,0.2713751756768029,0.5063291139240507
Gradient Boosting,42,0.2,0.493431855500821,0.3276539823146854,0.6835443037974683
Random Forest,0,0.33,0.5114889705882353,0.2826785979009442,0.7384615384615385
Logistic Regression,0,0.33,0.5251225490196079,0.3123888980204943,0.5615384615384615
Gradient Boosting,0,0.33,0.5208333333333334,0.3569838260942873,0.7461538461538462
Random Forest,5,0.33,0.4295343137254902,0.2307703786478692,0.7230769230769231
Logistic Regression,5,0.33,0.4785539215686274,0.2611657962136522,0.4769230769230769
Gradient Boosting,5,0.33,0.477328431372549,0.2761917229009857,0.6846153846153846
Random Forest,42,0.33,0.4840686274509804,0.263034210286155,0.7307692307692307
Logistic Regression,42,0.33,0.4681372549019608,0.2555795117264687,0.5153846153846153
Gradient Boosting,42,0.33,0.5119485294117647,0.299569767210413,0.7
Random Forest,0,0.5,0.4822853279242732,0.271946630393498,0.7295918367346939
Logistic Regression,0,0.5,0.5299526707234619,0.2886689598156365,0.6071428571428571
Gradient Boosting,0,0.5,0.4992562542258283,0.2701549363237709,0.7142857142857143
Random Forest,5,0.5,0.4965517241379311,0.2479372357955631,0.7142857142857143
Logistic Regression,5,0.5,0.4891142663962136,0.2504057228510117,0.5612244897959183
Gradient Boosting,5,0.5,0.5468559837728195,0.2820489589202055,0.6836734693877551
Random Forest,42,0.5,0.476605814739689,0.2733481217958842,0.7346938775510204
Logistic Regression,42,0.5,0.4600405679513184,0.258259878322043,0.5255102040816326
Gradient Boosting,42,0.5,0.436105476673428,0.2633497459330094,0.6581632653061225
Random Forest,0,0.66,0.5225977825685248,0.3069563272351504,0.7374517374517374
Logistic Regression,0,0.66,0.5522020326455189,0.3396632549119597,0.5714285714285714
Gradient Boosting,0,0.66,0.509547274407145,0.2834296502854756,0.6756756756756757
Random Forest,5,0.66,0.5293732676316599,0.2872707921288447,0.7258687258687259
Logistic Regression,5,0.66,0.5615953187557746,0.2926965976979344,0.6023166023166023
Gradient Boosting,5,0.66,0.570218663381583,0.3066580052637631,0.6833976833976834
Random Forest,42,0.66,0.4764782876501386,0.2626287395006356,0.7374517374517374
Logistic Regression,42,0.66,0.4953803510933169,0.2695083701551621,0.5598455598455598
Gradient Boosting,42,0.66,0.5111641515244841,0.2909309471175638,0.6718146718146718
Random Forest,0,0.75,0.5318690526063798,0.2786419483178743,0.7312925170068028
Logistic Regression,0,0.75,0.5644263570530851,0.3238665946881789,0.5952380952380952
Gradient Boosting,0,0.75,0.5095457537853851,0.2782620443415389,0.6666666666666666
Random Forest,5,0.75,0.5310910287868813,0.2654158921668249,0.7312925170068028
Logistic Regression,5,0.75,0.5231910946196661,0.2736584013961731,0.5884353741496599
Gradient Boosting,5,0.75,0.4870429110060446,0.2567333874503977,0.6598639455782312
Random Forest,42,0.75,0.4772577652761984,0.2766589537945421,0.7448979591836735
Logistic Regression,42,0.75,0.5104434735771142,0.2894457139728734,0.564625850340136
Gradient Boosting,42,0.75,0.4847686875336645,0.2672970793112249,0.6802721088435374
Random Forest,0,0.9,0.4965928093645485,0.2485316470598894,0.6846590909090909
Logistic Regression,0,0.9,0.4946070234113713,0.2480049870130797,0.5340909090909091
Gradient Boosting,0,0.9,0.4531772575250836,0.2260688153898672,0.5823863636363636
Random Forest,5,0.9,0.4873118729096989,0.2560501498475792,0.7215909090909091
Logistic Regression,5,0.9,0.4771739130434783,0.2448332792451013,0.6051136363636364
Gradient Boosting,5,0.9,0.5029473244147157,0.2605398876778709,0.5823863636363636
Random Forest,42,0.9,0.4404891304347826,0.24953709989176096,0.7386363636363636
Logistic Regression,42,0.9,0.49970735785953174,0.27550407187999476,0.6477272727272727
Gradient Boosting,42,0.9,0.44397993311036793,0.2695287304704954,0.6903409090909091
