model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,42,0.3,50,16,0.0005,0.0001,0.6098411468423093,0.3904472443500217,0.7288135593220338
NN+RF,42,0.3,50,16,0.0005,0.0001,0.6005424254165054,0.3637727184682908,0.7711864406779662
NN+RF,42,0.3,50,16,0.0005,0.0001,0.6330879504068191,0.3858386795393981,0.7542372881355932
NN+RF,42,0.3,50,16,0.0005,0.0001,0.6534289035257653,0.4464219173014732,0.7288135593220338
NN+RF,42,0.3,50,16,0.0005,0.0001,0.6602092212320807,0.4295172100291268,0.7966101694915254
NN+RF,42,0.3,50,32,0.0005,0.0001,0.5612165827198761,0.3636574889879492,0.7288135593220338
NN+RF,42,0.3,50,32,0.0005,0.0001,0.5625726462611391,0.3504620799987806,0.7203389830508474
NN+RF,42,0.3,50,32,0.0005,0.0001,0.6239829523440528,0.4547643205583305,0.7627118644067796
NN+RF,42,0.3,50,32,0.0005,0.0001,0.5749709414955444,0.3844379578857063,0.7542372881355932
NN+RF,42,0.3,50,32,0.0005,0.0001,0.6185586981790004,0.3711205251502587,0.7457627118644068
NN+RF,42,0.3,50,32,0.0005,1e-08,0.5745834947694692,0.3515425975831222,0.7542372881355932
NN+RF,42,0.3,50,32,0.0005,1e-08,0.5945370011623401,0.358010064222092,0.7457627118644068
NN+RF,42,0.3,50,32,0.0005,1e-08,0.6015110422316932,0.4270241603984949,0.7372881355932204
NN+RF,42,0.3,50,32,0.0005,1e-08,0.6160402944595119,0.4059184174306842,0.7372881355932204
NN+RF,42,0.3,50,32,0.0005,1e-08,0.592793490895002,0.3767729034055525,0.7627118644067796
NN+RF,42,0.3,50,16,0.0005,1e-08,0.5532739248353351,0.3450527555346165,0.7796610169491526
NN+RF,42,0.3,50,16,0.0005,1e-08,0.6117783804726848,0.3773134170232726,0.7457627118644068
NN+RF,42,0.3,50,16,0.0005,1e-08,0.6327005036807439,0.4159170268219566,0.7627118644067796
NN+RF,42,0.3,50,16,0.0005,1e-08,0.5829135993800852,0.3403853627399511,0.7372881355932204
NN+RF,42,0.3,50,16,0.0005,1e-08,0.5831073227431228,0.3852573687369836,0.7288135593220338
NN+RF,42,0.2,50,16,0.0001,0.0001,0.4802631578947368,0.2858913882930527,0.7215189873417721
NN+RF,42,0.2,50,16,0.0001,0.0001,0.5469298245614035,0.2870290270130359,0.7215189873417721
NN+RF,42,0.2,50,16,0.0001,0.0001,0.5074561403508772,0.3330144791262708,0.7341772151898734
NN+RF,0,0.5,50,16,0.0001,0.0001,0.5178068693693694,0.2856520977605926,0.7551020408163265
NN+RF,0,0.5,50,16,0.0001,0.0001,0.5780546171171171,0.3317006881712749,0.7142857142857143
NN+RF,0,0.5,50,16,0.0001,0.0001,0.5180180180180181,0.2954431766164909,0.7193877551020408
NN+RF,1,0.5,50,16,0.0001,0.0001,0.4988034909909909,0.2500853842607425,0.7142857142857143
NN+RF,1,0.5,50,16,0.0001,0.0001,0.5777730855855856,0.3550461218536204,0.7602040816326531
NN+RF,1,0.5,50,16,0.0001,0.0001,0.5370213963963963,0.3320757506597684,0.75
NN+RF,2,0.5,50,16,0.0001,0.0001,0.5599662162162162,0.2957326554726345,0.7193877551020408
NN+RF,2,0.5,50,16,0.0001,0.0001,0.4941582207207207,0.2413578530407852,0.6989795918367347
NN+RF,2,0.5,50,16,0.0001,0.0001,0.5612331081081081,0.3013296837659034,0.7346938775510204
NN+RF,3,0.5,50,16,0.0001,0.0001,0.5295608108108109,0.2827060927504221,0.7091836734693877
NN+RF,3,0.5,50,16,0.0001,0.0001,0.4865568693693693,0.2377142397731212,0.7193877551020408
NN+RF,3,0.5,50,16,0.0001,0.0001,0.5042933558558558,0.240960959427109,0.7244897959183674
NN+RF,4,0.5,50,16,0.0001,0.0001,0.512598536036036,0.2519834351718548,0.6887755102040817
NN+RF,4,0.5,50,16,0.0001,0.0001,0.5722832207207207,0.2888737936871587,0.6989795918367347
NN+RF,4,0.5,50,16,0.0001,0.0001,0.5356841216216217,0.3063267786294686,0.7295918367346939
NN+RF,5,0.5,50,16,0.0001,0.0001,0.5230855855855856,0.2540297485285382,0.6989795918367347
NN+RF,5,0.5,50,16,0.0001,0.0001,0.5344876126126126,0.3507598961186359,0.7142857142857143
NN+RF,5,0.5,50,16,0.0001,0.0001,0.5646818693693694,0.3041393924803316,0.7244897959183674
NN+RF,21,0.5,50,16,0.0001,0.0001,0.4923282657657657,0.2778023200888283,0.7448979591836735
NN+RF,21,0.5,50,16,0.0001,0.0001,0.4858530405405405,0.2502719871928304,0.7295918367346939
NN+RF,21,0.5,50,16,0.0001,0.0001,0.5285050675675677,0.3162679378988586,0.7193877551020408
NN+RF,42,0.5,50,16,0.0001,0.0001,0.5912162162162162,0.3330077600454125,0.7193877551020408
NN+RF,42,0.5,50,16,0.0001,0.0001,0.5955799549549549,0.3846213235217519,0.7142857142857143
NN+RF,42,0.5,50,16,0.0001,0.0001,0.5720016891891891,0.3617332613539271,0.7653061224489796
NN+RF,0,0.6,50,16,0.0001,0.0001,0.5604178986792825,0.2813484061574153,0.7148936170212766
NN+RF,0,0.6,50,16,0.0001,0.0001,0.4355410999408634,0.2368674268917112,0.7191489361702128
NN+RF,0,0.6,50,16,0.0001,0.0001,0.4978809383008082,0.24546421552904,0.7191489361702128
NN+RF,1,0.6,50,16,0.0001,0.0001,0.5059629410605164,0.2574468466085091,0.7148936170212766
NN+RF,1,0.6,50,16,0.0001,0.0001,0.5559826532623695,0.3006289108374149,0.7191489361702128
NN+RF,1,0.6,50,16,0.0001,0.0001,0.5331657796175834,0.2925057973697454,0.7446808510638298
NN+RF,2,0.6,50,16,0.0001,0.0001,0.5676128523556081,0.2915787056330605,0.7319148936170212
NN+RF,2,0.6,50,16,0.0001,0.0001,0.5869308101714963,0.3087539525842048,0.7361702127659574
NN+RF,2,0.6,50,16,0.0001,0.0001,0.5052730139956634,0.3002218551123489,0.7063829787234043
NN+RF,3,0.6,50,16,0.0001,0.0001,0.5323280110388331,0.2757412261027423,0.7404255319148936
NN+RF,3,0.6,50,16,0.0001,0.0001,0.5167060910703725,0.2537833802741633,0.7191489361702128
NN+RF,3,0.6,50,16,0.0001,0.0001,0.5355805243445693,0.2763048142838914,0.7106382978723405
NN+RF,4,0.6,50,16,0.0001,0.0001,0.5297161442933175,0.3102944372232507,0.7276595744680852
NN+RF,4,0.6,50,16,0.0001,0.0001,0.4926572048097772,0.2478989964180533,0.7319148936170212
NN+RF,4,0.6,50,16,0.0001,0.0001,0.4988172678888231,0.3078708031483627,0.7489361702127659
NN+RF,5,0.6,50,16,0.0001,0.0001,0.5245909718115513,0.2687360427226827,0.6893617021276596
NN+RF,5,0.6,50,16,0.0001,0.0001,0.5236546422235363,0.3092286108435006,0.7489361702127659
NN+RF,5,0.6,50,16,0.0001,0.0001,0.5229154346540508,0.2771762597292261,0.7319148936170212
NN+RF,21,0.6,50,16,0.0001,0.0001,0.5288290952099349,0.2834730526838306,0.7148936170212766
NN+RF,21,0.6,50,16,0.0001,0.0001,0.541050660358762,0.3135376681403482,0.7489361702127659
NN+RF,21,0.6,50,16,0.0001,0.0001,0.5518430908732506,0.2910790985229773,0.7404255319148936
NN+RF,42,0.6,50,16,0.0001,0.0001,0.5340528287009659,0.2714425916404608,0.7063829787234043
NN+RF,42,0.6,50,16,0.0001,0.0001,0.5359254878769958,0.2729025155520345,0.7319148936170212
NN+RF,42,0.6,50,16,0.0001,0.0001,0.537699586043761,0.2581633324224261,0.7489361702127659
NN+RF,42,0.7,50,16,0.0001,0.0001,0.5222438531977793,0.2564460923675482,0.7226277372262774
NN+RF,42,0.7,50,16,0.0001,0.0001,0.5685701925156825,0.3306214907882096,0.7481751824817519
NN+RF,42,0.7,50,16,0.0001,0.0001,0.5156824572788232,0.2691518335084769,0.7153284671532847
NN+RF,42,0.8,50,16,0.0001,0.0001,0.5643737508327782,0.2942458270446063,0.731629392971246
NN+RF,42,0.8,50,16,0.0001,0.0001,0.520625138796358,0.2790921385221182,0.744408945686901
NN+RF,42,0.8,50,16,0.0001,0.0001,0.509493670886076,0.2817795181175508,0.7124600638977636
NN+RF,0,0.9,50,16,0.0001,0.0001,0.4677391152299353,0.2307661092577405,0.7244318181818182
NN+RF,0,0.9,50,16,0.0001,0.0001,0.4369645042839657,0.2116188600368635,0.7017045454545454
NN+RF,0,0.9,50,16,0.0001,0.0001,0.4807440111907676,0.2293076530526876,0.7102272727272727
NN+RF,1,0.9,50,16,0.0001,0.0001,0.5384026927784578,0.2530220179063907,0.6647727272727273
NN+RF,1,0.9,50,16,0.0001,0.0001,0.533266305298129,0.2515459673066677,0.6875
NN+RF,1,0.9,50,16,0.0001,0.0001,0.4989945794719356,0.2617523506587777,0.7045454545454546
NN+RF,2,0.9,50,16,0.0001,0.0001,0.4811374366147927,0.2436870682384231,0.7102272727272727
NN+RF,2,0.9,50,16,0.0001,0.0001,0.5054423850323483,0.2362116487708312,0.6647727272727273
NN+RF,2,0.9,50,16,0.0001,0.0001,0.4647009966777409,0.2300560353594449,0.7045454545454546
NN+RF,3,0.9,50,16,0.0001,0.0001,0.4773780381185522,0.2355207759940828,0.7073863636363636
NN+RF,3,0.9,50,16,0.0001,0.0001,0.4982514425598881,0.2428887465820639,0.6761363636363636
NN+RF,3,0.9,50,16,0.0001,0.0001,0.5222285364574226,0.2577463042111985,0.6505681818181818
NN+RF,4,0.9,50,16,0.0001,0.0001,0.5392988284665151,0.2822287677675091,0.7045454545454546
NN+RF,4,0.9,50,16,0.0001,0.0001,0.465968700821822,0.2307870026209204,0.7244318181818182
NN+RF,4,0.9,50,16,0.0001,0.0001,0.5013114180800838,0.2748596623010665,0.7102272727272727
NN+RF,5,0.9,50,16,0.0001,0.0001,0.4916069242874628,0.2541951546528941,0.6960227272727273
NN+RF,5,0.9,50,16,0.0001,0.0001,0.4747552019583843,0.2265076548966093,0.7272727272727273
NN+RF,5,0.9,50,16,0.0001,0.0001,0.4985792970799091,0.2431657734778232,0.7073863636363636
NN+RF,21,0.9,50,16,0.0001,0.0001,0.5065570904004197,0.2386775291527745,0.7017045454545454
NN+RF,21,0.9,50,16,0.0001,0.0001,0.523780381185522,0.2799692854920403,0.71875
NN+RF,21,0.9,50,16,0.0001,0.0001,0.4996940024479804,0.2592156617296056,0.7443181818181818
NN+RF,42,0.9,50,16,0.0001,0.0001,0.5376376988984088,0.2664409683945622,0.7329545454545454
NN+RF,42,0.9,50,16,0.0001,0.0001,0.4545593635250917,0.2256319315807808,0.6903409090909091
NN+RF,42,0.9,50,16,0.0001,0.0001,0.5931325406539605,0.3200031068453414,0.7244318181818182
NN+RF,0,0.33,50,16,0.0001,0.0001,0.5634566326530612,0.297401840633824,0.7307692307692307
