model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,0,0.2,50,16,0.0001,0.0001,0.4831691297208538,0.2695915304682469,0.6962025316455697
NN+RF,5,0.2,50,16,0.0001,0.0001,0.5743021346469621,0.3553575067886804,0.7215189873417721
NN+RF,42,0.2,50,16,0.0001,0.0001,0.6276683087027914,0.3757312789410683,0.7341772151898734
NN+RF,0,0.33,50,16,0.0001,0.0001,0.4848345588235294,0.3181625560590037,0.7461538461538462
NN+RF,5,0.33,50,16,0.0001,0.0001,0.5719975490196079,0.2851318830804176,0.7
NN+RF,42,0.33,50,16,0.0001,0.0001,0.5116421568627451,0.2680771778559576,0.7153846153846154
NN+RF,0,0.5,50,16,0.0001,0.0001,0.5469235970250168,0.2960027272086074,0.7040816326530612
NN+RF,5,0.5,50,16,0.0001,0.0001,0.536105476673428,0.3087155057334735,0.7397959183673469
NN+RF,42,0.5,50,16,0.0001,0.0001,0.5052062204192022,0.3083830019369818,0.7193877551020408
NN+RF,0,0.66,50,16,0.0001,0.0001,0.5420003079765937,0.3164559019468703,0.722007722007722
NN+RF,5,0.66,50,16,0.0001,0.0001,0.5302202032645519,0.3198258996704758,0.7142857142857143
NN+RF,42,0.66,50,16,0.0001,0.0001,0.4847166615337235,0.263140026659412,0.7065637065637066
NN+RF,0,0.75,50,16,0.0001,0.0001,0.539679214794422,0.3181284466369022,0.7312925170068028
NN+RF,5,0.75,50,16,0.0001,0.0001,0.4728589382967263,0.2525450049694092,0.6904761904761905
NN+RF,42,0.75,50,16,0.0001,0.0001,0.4910527260757675,0.2594397583776104,0.7142857142857143
NN+RF,0,0.9,50,16,0.0001,0.0001,0.5283653846153845,0.2993409599289947,0.7073863636363636
NN+RF,5,0.9,50,16,0.0001,0.0001,0.5362040133779264,0.287498099509415,0.7272727272727273
NN+RF,42,0.9,50,16,0.0001,0.0001,0.4211747491638796,0.22547329971370683,0.7073863636363636
