model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6030049786628734,0.3137356203891381,0.710997442455243
Contrastive,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5591038406827881,0.2747625841168163,0.6956521739130435
Contrastive,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5430298719772404,0.2847904696280067,0.6982097186700768
Contrastive,21,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5794096728307254,0.3156009983777491,0.7135549872122762
Contrastive,21,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5832325746799432,0.3040898325917585,0.6982097186700768
Contrastive,21,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5924431009957326,0.3045208504425107,0.7007672634271099
Contrastive,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5413051209103841,0.3052689508025197,0.6982097186700768
Contrastive,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5415362731152205,0.2850917632148506,0.6777493606138107
Contrastive,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5424431009957326,0.306762302757998,0.6751918158567775
Contrastive,1,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5720305832147937,0.3255354350242741,0.7212276214833759
Contrastive,1,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5489864864864865,0.3045515958511786,0.7058823529411765
Contrastive,1,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5714438122332859,0.2936920854173011,0.7007672634271099
Contrastive,2,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5447901849217639,0.268963088974423,0.6624040920716112
Contrastive,2,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5333570412517781,0.2721402963990125,0.6675191815856778
Contrastive,2,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5650604551920342,0.2692056294727242,0.6751918158567775
Contrastive,3,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5951635846372688,0.3012776189021618,0.7007672634271099
Contrastive,3,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5830192034139403,0.2891577147995895,0.6777493606138107
Contrastive,3,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.596319345661451,0.3229133779073632,0.7161125319693095
Contrastive,4,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6091216216216215,0.3225672101751393,0.7007672634271099
Contrastive,4,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6004089615931721,0.3208130282753093,0.7135549872122762
Contrastive,4,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5761201991465149,0.3119842873193588,0.7033248081841432
Contrastive,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5390469416785206,0.2821010402919157,0.680306905370844
Contrastive,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5342994310099574,0.2637748749492124,0.6879795396419437
Contrastive,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5679765291607397,0.3098080664728034,0.7186700767263428
Contrastive,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.572848506401138,0.2915581598553043,0.6828644501278772
Contrastive,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5374644381223329,0.2478268071148063,0.6419437340153452
Contrastive,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5289473684210526,0.2699069801967115,0.6572890025575447
Contrastive,1,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5318634423897581,0.2889196430048369,0.6982097186700768
Contrastive,1,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5775426742532006,0.2907391003826532,0.6930946291560103
Contrastive,1,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5782894736842106,0.2981501188571651,0.6726342710997443
Contrastive,2,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5706970128022759,0.2728309029782362,0.6777493606138107
Contrastive,2,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5360775248933144,0.2732326887280666,0.6828644501278772
