model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5770235429812063,0.3066719458658558,0.6930946291560103
Contrastive,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.54362575480019,0.3043906236020038,0.6930946291560103
Contrastive,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.4881776239907727,0.2997319931232368,0.6751918158567775
Contrastive,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.519489110523102,0.2986211813892299,0.6751918158567775
Contrastive,5,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.6017199267250152,0.35679600718917,0.710997442455243
Contrastive,42,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5026969265214736,0.280689074275487,0.6879795396419437
Contrastive,0,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5750050885406065,0.3204193445859042,0.6982097186700768
Contrastive,5,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5541590338557568,0.2978483236847308,0.6726342710997443
Contrastive,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.4927064251306058,0.2598547413509537,0.639386189258312
Contrastive,0,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5118138951082163,0.2900234934539504,0.690537084398977
Contrastive,5,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.537417735260194,0.2942734696294641,0.6930946291560103
Contrastive,42,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.4764230951896328,0.2522551303932075,0.6342710997442456
Contrastive,0,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5434900603840152,0.2948235338029515,0.6888320545609549
Contrastive,5,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5206312051925729,0.2740629777116471,0.6854219948849105
Contrastive,42,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5147699602716903,0.2864268812528593,0.6743393009377664
Contrastive,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.513333232818951,0.2779720910893253,0.6712134129013925
Contrastive,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5172197889365495,0.267180628162376,0.6672350099460074
Contrastive,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5084972345980555,0.2622172038356971,0.6678033532253481
