model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,lambda_l1,ROC-AUC,PR-AUC,Accuracy,n_layers
Contrastive+Gating,0,0.25,220,0.3,32,0.0001,1e-08,300,0.01,0.1,0.5364509246088193,0.2733877999586891,0.7033248081841432,2
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5584992887624467,0.2909818583423278,0.6521739130434783,2
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5602418207681366,0.2748701127320798,0.6777493606138107,2
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.60024893314367,0.3073056945569826,0.680306905370844,2
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5380867709815078,0.2540337449100366,0.6675191815856778,2
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.549875533428165,0.2684987451202675,0.690537084398977,2
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.6191856330014225,0.3441593288022205,0.7135549872122762,2
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5861130867709816,0.3058364434605492,0.6828644501278772,2
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5980263157894737,0.3120790181962275,0.7007672634271099,2
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.592674253200569,0.3165953298002835,0.6982097186700768,2
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5331258890469417,0.2664960070623677,0.690537084398977,2
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5362019914651494,0.2931574732572249,0.7058823529411765,2
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5631401137980085,0.2927891468693552,0.6726342710997443,2
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5671941678520627,0.2842573232370853,0.6879795396419437,2
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5392069701280228,0.2869304386025041,0.690537084398977,2
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5911273115220483,0.2891990408716168,0.6879795396419437,2
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5733819345661451,0.3023805817336032,0.6751918158567775,2
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5748933143669985,0.3015607803910624,0.6828644501278772,2
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5450391180654339,0.2676235121515268,0.6726342710997443,2
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.6207147937411095,0.3382038847774711,0.7007672634271099,2
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5571657183499288,0.3073876717261312,0.6828644501278772,2
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5836415362731151,0.3118021434351142,0.7033248081841432,2
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5522048364153627,0.2687315008730979,0.659846547314578,2
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5602951635846373,0.3083428316648416,0.7084398976982097,2
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5461415362731151,0.2683652026259937,0.6854219948849105,2
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5325924608819346,0.2580520251776624,0.6751918158567775,2
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5589615931721195,0.3013380646833603,0.6675191815856778,2
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.569861308677098,0.2956243319189556,0.6751918158567775,2
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5678165007112375,0.3008183554681904,0.6879795396419437,2
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5589438122332859,0.2816467446718171,0.6956521739130435,2
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5779694167852063,0.3277662568299508,0.690537084398977,2
Contrastive+Gating,1,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5629800853485064,0.3156867511713103,0.6854219948849105,2
Contrastive+Gating,3,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5981863442389758,0.3399858616511244,0.7161125319693095,2
Contrastive+Gating,3,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.6299075391180655,0.3821770968176818,0.7289002557544757,2
Contrastive+Gating,1,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5608997155049786,0.2809112054458184,0.680306905370844,2
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5224039829302987,0.2661851129111817,0.6751918158567775,1
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5915362731152205,0.3052328955192122,0.6956521739130435,1
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5340327169274538,0.2502186559029841,0.6675191815856778,1
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.5788940256045519,0.2958561483659178,0.6726342710997443,1
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.1,0.512126600284495,0.2724647067358524,0.6572890025575447,1
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5415007112375534,0.2797943373125198,0.6930946291560103,1
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5775071123755334,0.2817166906246347,0.6879795396419437,1
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5625711237553344,0.2962073432553357,0.6956521739130435,1
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.532574679943101,0.2854860071512271,0.680306905370844,1
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.2,0.5664473684210527,0.3110609957140878,0.6854219948849105,1
Contrastive+Gating,0,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.563406827880512,0.2999970092161138,0.6982097186700768,1
Contrastive+Gating,2,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5823079658605974,0.3005709209589429,0.7007672634271099,1
Contrastive+Gating,5,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5449324324324324,0.2787074008129512,0.6930946291560103,1
Contrastive+Gating,21,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5400782361308677,0.2747258088699173,0.670076726342711,1
Contrastive+Gating,42,0.25,220,0.3,32,0.0005,1e-08,300,0.01,0.05,0.5386735419630156,0.2843270300706876,0.6828644501278772,1
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5472795163584637,0.271616610894227,0.680306905370844,1
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.602524893314367,0.3207881367420871,0.7212276214833759,1
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5863798008534851,0.316959925040195,0.6982097186700768,1
