model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive After Gating,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5889580369843528,0.2980314612438645,0.6828644501278772
Contrastive After Gating,1,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5798719772403984,0.3346293801247493,0.7033248081841432
Contrastive After Gating,2,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6053342816500711,0.3086481313966508,0.7084398976982097
Contrastive After Gating,3,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6419096728307254,0.378858760963525,0.7212276214833759
Contrastive After Gating,4,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5964082503556187,0.3249603191902027,0.710997442455243
Contrastive After Gating,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5814366998577525,0.3109421343601453,0.7058823529411765
Contrastive After Gating,21,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.6219950213371266,0.3281152319560994,0.7161125319693095
Contrastive After Gating,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5642069701280228,0.3144025708757988,0.7212276214833759
Contrastive After Gating,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5910917496443813,0.3096554809210263,0.7161125319693095
Contrastive After Gating,1,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.547475106685633,0.2721963091216667,0.6751918158567775
Contrastive After Gating,2,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5761735419630156,0.2928374766301517,0.690537084398977
Contrastive After Gating,3,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.6456258890469417,0.3558832956492264,0.7365728900255755
Contrastive After Gating,4,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5881934566145092,0.3471556411279072,0.7340153452685422
Contrastive After Gating,5,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.6248221906116643,0.340181774286478,0.7212276214833759
