model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive After Gating,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5314834080071431,0.2912463902210936,0.6848536516055698
Contrastive After Gating,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.4958349352813021,0.2616319894817246,0.6439329354930378
Contrastive After Gating,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.507484342790899,0.2586533117079003,0.6624040920716112
Contrastive After Gating,42,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.505889514590919,0.2794231682762611,0.680306905370844
Contrastive After Gating,5,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5011383253801329,0.2679780635469374,0.6675191815856778
Contrastive After Gating,0,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5478247431229316,0.2922701728508611,0.6990622335890878
Contrastive After Gating,0,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5038545695094647,0.2646093732978147,0.6867007672634271
Contrastive After Gating,5,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5456993350973608,0.3106141602672809,0.7007672634271099
Contrastive After Gating,42,0.66,100,0.3,32,0.0005,1e-08,300,0.01,0.5224786281294524,0.272154452776858,0.6611253196930946
Contrastive After Gating,0,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.482495420313454,0.2615949272033901,0.670076726342711
Contrastive After Gating,5,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.5467467263722098,0.3132904181991463,0.7135549872122762
Contrastive After Gating,42,0.5,100,0.3,32,0.0005,1e-08,300,0.01,0.506309790352127,0.2884990789335885,0.6726342710997443
Contrastive After Gating,0,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.5250356197842458,0.3137757091967584,0.6777493606138107
Contrastive After Gating,5,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.6023305515978018,0.3407083401544247,0.7007672634271099
Contrastive After Gating,42,0.33,100,0.3,32,0.0005,1e-08,300,0.01,0.4976083859149195,0.2629917001164963,0.649616368286445
Contrastive After Gating,0,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5415733767555465,0.3063229368918712,0.6982097186700768
Contrastive After Gating,5,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.5197265757514079,0.2723755267824667,0.6547314578005116
Contrastive After Gating,42,0.2,100,0.3,32,0.0005,1e-08,300,0.01,0.4739975575005088,0.2746317248055086,0.649616368286445
