learning_rate,weight_decay,lambda_l1,n_epochs,n_layers,margin,test_size,feature,avg_weight
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.08351615
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.08182498
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.080748945
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.08021916
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.07907837
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.07643896
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.074451044
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.07274489
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.07266517
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.071267426
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.070906214
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.07035617
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.069325194
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.06927243
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.06833325
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.06701749
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.06572493
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0652974
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.064336725
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.06423877
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.06311504
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.06289283
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.062820576
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.062521785
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.060573988
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.060268175
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.05925902
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.059177123
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.055812508
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.055253826
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.05147329
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.04872204
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.04682837
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.039562188
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.039159823
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.037949555
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0367797
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.034632
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.027628731
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0893892422318458
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0830432772636413
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0819481909275055
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.077125109732151
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0767111778259277
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0766603499650955
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0764319747686386
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0763635113835334
