learning_rate,weight_decay,lambda_l1,n_epochs,n_layers,margin,test_size,feature,avg_weight
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.088276
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.08709543
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.077467255
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.07599245
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.075839475
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.075278595
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.07476066
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.073587365
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.07249476
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.070474684
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.069494545
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.06904459
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.068051115
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.06702715
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.06588891
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.06509335
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.06469292
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.06451306
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.06385507
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.061436936
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.061328515
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.060488645
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.059844874
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.059616685
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.05949395
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.058929447
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.058725648
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.058586385
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.05787774
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.057512958
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.04948917
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.04751835
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.046486743
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.045030147
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0354644
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,1.0084361e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,1.0084361e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.0084361e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,1.0084361e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0860580950975418
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.083931066095829
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0809979885816574
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0801201611757278
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0789735913276672
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0781191289424896
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0766369402408599
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0755119025707244
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0731371343135833
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0728002116084098
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0718618035316467
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0713876336812973
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0713335871696472
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0710798799991607
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0702437758445739
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0689574256539344
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0674761980772018
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0669794604182243
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0668799504637718
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0662632435560226
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0654284134507179
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0641759410500526
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0639762729406356
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0626371055841445
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0614323504269123
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0598988905549049
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0586354508996009
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0585704334080219
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0559342019259929
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0556128025054931
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0437191799283027
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.038894448429346
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0354073122143745
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0280018653720617
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0252539087086915
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0876191928982734
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0844254344701767
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0838446319103241
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0832805931568145
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0813193172216415
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0805445313453674
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.079266145825386
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0768153965473175
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0745418965816497
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0744530633091926
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0737948194146156
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0719180405139923
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.070883110165596
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0707237273454666
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0697935819625854
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0696253776550293
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0692105144262313
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0691496953368187
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0682922825217247
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0677524209022522
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0671809464693069
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0662455484271049
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0658106803894043
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0654982551932334
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0653953254222869
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0649083405733108
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0643835067749023
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.060795672237873
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0600078329443931
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0565193332731723
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0465335883200168
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.040435716509819
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0392215698957443
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0350359082221984
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0276558864861726
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Former smoker,0.0344218201935291
0.001,1e-08,0.2,100,1,0.3,0.25,performance_status,0.0323850587010383
0.001,1e-08,0.2,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0309430211782455
0.001,1e-08,0.2,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0306829996407032
0.001,1e-08,0.2,100,1,0.3,0.25,catheter_device,0.0299833044409751
0.001,1e-08,0.2,100,1,0.3,0.25,family_background_vte,0.0297597832977771
